file,s1,s2,b1,b2,percDif
Traditional/traditional7157.gcg,519,377,3,1,31.69642857142857
Traditional/traditional8264.gcg,430,459,1,2,6.524184476940382
Traditional/traditional6249.gcg,424,455,2,2,7.053469852104664
Traditional/traditional1526.gcg,509,331,4,1,42.38095238095238
Traditional/traditional5740.gcg,379,449,1,1,16.908212560386474
Traditional/traditional5998.gcg,518,378,3,1,31.25
Traditional/traditional2991.gcg,409,433,2,2,5.7007125890736345
Traditional/traditional5026.gcg,417,423,1,2,1.4285714285714286
Traditional/traditional2749.gcg,534,391,4,1,30.91891891891892
Traditional/traditional1240.gcg,366,444,1,2,19.25925925925926
Traditional/traditional7631.gcg,472,419,3,1,11.896745230078563
Traditional/traditional8502.gcg,361,508,1,3,33.83199079401611
Traditional/traditional1254.gcg,538,418,4,2,25.10460251046025
Traditional/traditional7625.gcg,395,526,2,4,28.447339847991316
Traditional/traditional8516.gcg,399,409,2,1,2.4752475247524752
Traditional/traditional2985.gcg,503,382,4,1,27.34463276836158
Traditional/traditional5032.gcg,539,434,4,3,21.58273381294964
Traditional/traditional5754.gcg,356,407,1,2,13.368283093053734
Traditional/traditional7143.gcg,487,457,1,2,6.3559322033898304
Traditional/traditional8270.gcg,423,432,2,2,2.1052631578947367
Traditional/traditional1532.gcg,464,429,2,2,7.838745800671893
Traditional/traditional2013.gcg,461,420,2,2,9.307604994324631
Traditional/traditional4462.gcg,360,396,0,3,9.523809523809524
Traditional/traditional8258.gcg,287,491,0,3,52.44215938303341
Traditional/traditional6275.gcg,496,476,3,2,4.11522633744856
Traditional/traditional6513.gcg,396,429,2,2,8.0
Traditional/traditional2775.gcg,454,474,3,3,4.310344827586207
Traditional/traditional2761.gcg,386,559,1,3,36.613756613756614
Traditional/traditional1268.gcg,510,423,3,3,18.64951768488746
Traditional/traditional6507.gcg,509,457,3,2,10.766045548654244
Traditional/traditional7619.gcg,410,405,2,2,1.2269938650306749
Traditional/traditional6261.gcg,490,460,2,4,6.315789473684211
Traditional/traditional2007.gcg,461,327,2,1,34.01015228426396
Traditional/traditional5768.gcg,428,476,2,4,10.619469026548673
Traditional/traditional4476.gcg,448,437,2,3,2.4858757062146895
Traditional/traditional5783.gcg,463,344,2,2,29.49194547707559
Traditional/traditional565.gcg,430,501,1,3,15.252416756176155
Traditional/traditional7194.gcg,482,359,3,1,29.25089179548157
Traditional/traditional203.gcg,401,488,1,2,19.572553430821145
Traditional/traditional1283.gcg,348,322,0,1,7.761194029850746
Traditional/traditional2952.gcg,556,459,4,1,19.113300492610836
Traditional/traditional14921.gcg,462,403,2,2,13.641618497109825
Traditional/traditional2946.gcg,405,401,2,2,0.9925558312655087
Traditional/traditional14935.gcg,456,406,2,2,11.600928074245939
